# function: x**3-5x+3
# x, analytic_deriv(x), fw_diff(x), central_diff(x)
-4.23000,48.67870,48.55190,48.67880
-4.22000,48.42520,48.29870,48.42530
-4.21000,48.17230,48.04610,48.17240
-4.20000,47.92000,47.79410,47.92010
-4.19000,47.66830,47.54270,47.66840
-4.18000,47.41720,47.29190,47.41730
-4.17000,47.16670,47.04170,47.16680
-4.16000,46.91680,46.79210,46.91690
-4.15000,46.66750,46.54310,46.66760
-4.14000,46.41880,46.29470,46.41890
-4.13000,46.17070,46.04690,46.17080
-4.12000,45.92320,45.79970,45.92330
-4.11000,45.67630,45.55310,45.67640
-4.10000,45.43000,45.30710,45.43010
-4.09000,45.18430,45.06170,45.18440
-4.08000,44.93920,44.81690,44.93930
-4.07000,44.69470,44.57270,44.69480
-4.06000,44.45080,44.32910,44.45090
-4.05000,44.20750,44.08610,44.20760
-4.04000,43.96480,43.84370,43.96490
-4.03000,43.72270,43.60190,43.72280
-4.02000,43.48120,43.36070,43.48130
-4.01000,43.24030,43.12010,43.24040
-4.00000,43.00000,42.88010,43.00010
-3.99000,42.76030,42.64070,42.76040
-3.98000,42.52120,42.40190,42.52130
-3.97000,42.28270,42.16370,42.28280
-3.96000,42.04480,41.92610,42.04490
-3.95000,41.80750,41.68910,41.80760
-3.94000,41.57080,41.45270,41.57090
-3.93000,41.33470,41.21690,41.33480
-3.92000,41.09920,40.98170,41.09930
-3.91000,40.86430,40.74710,40.86440
-3.90000,40.63000,40.51310,40.63010
-3.89000,40.39630,40.27970,40.39640
-3.88000,40.16320,40.04690,40.16330
-3.87000,39.93070,39.81470,39.93080
-3.86000,39.69880,39.58310,39.69890
-3.85000,39.46750,39.35210,39.46760
-3.84000,39.23680,39.12170,39.23690
-3.83000,39.00670,38.89190,39.00680
-3.82000,38.77720,38.66270,38.77730
-3.81000,38.54830,38.43410,38.54840
-3.80000,38.32000,38.20610,38.32010
-3.79000,38.09230,37.97870,38.09240
-3.78000,37.86520,37.75190,37.86530
-3.77000,37.63870,37.52570,37.63880
-3.76000,37.41280,37.30010,37.41290
-3.75000,37.18750,37.07510,37.18760
-3.74000,36.96280,36.85070,36.96290
-3.73000,36.73870,36.62690,36.73880
-3.72000,36.51520,36.40370,36.51530
-3.71000,36.29230,36.18110,36.29240
-3.70000,36.07000,35.95910,36.07010
-3.69000,35.84830,35.73770,35.84840
-3.68000,35.62720,35.51690,35.62730
-3.67000,35.40670,35.29670,35.40680
-3.66000,35.18680,35.07710,35.18690
-3.65000,34.96750,34.85810,34.96760
-3.64000,34.74880,34.63970,34.74890
-3.63000,34.53070,34.42190,34.53080
-3.62000,34.31320,34.20470,34.31330
-3.61000,34.09630,33.98810,34.09640
-3.60000,33.88000,33.77210,33.88010
-3.59000,33.66430,33.55670,33.66440
-3.58000,33.44920,33.34190,33.44930
-3.57000,33.23470,33.12770,33.23480
-3.56000,33.02080,32.91410,33.02090
-3.55000,32.80750,32.70110,32.80760
-3.54000,32.59480,32.48870,32.59490
-3.53000,32.38270,32.27690,32.38280
-3.52000,32.17120,32.06570,32.17130
-3.51000,31.96030,31.85510,31.96040
-3.50000,31.75000,31.64510,31.75010
-3.49000,31.54030,31.43570,31.54040
-3.48000,31.33120,31.22690,31.33130
-3.47000,31.12270,31.01870,31.12280
-3.46000,30.91480,30.81110,30.91490
-3.45000,30.70750,30.60410,30.70760
-3.44000,30.50080,30.39770,30.50090
-3.43000,30.29470,30.19190,30.29480
-3.42000,30.08920,29.98670,30.08930
-3.41000,29.88430,29.78210,29.88440
-3.40000,29.68000,29.57810,29.68010
-3.39000,29.47630,29.37470,29.47640
-3.38000,29.27320,29.17190,29.27330
-3.37000,29.07070,28.96970,29.07080
-3.36000,28.86880,28.76810,28.86890
-3.35000,28.66750,28.56710,28.66760
-3.34000,28.46680,28.36670,28.46690
-3.33000,28.26670,28.16690,28.26680
-3.32000,28.06720,27.96770,28.06730
-3.31000,27.86830,27.76910,27.86840
-3.30000,27.67000,27.57110,27.67010
-3.29000,27.47230,27.37370,27.47240
-3.28000,27.27520,27.17690,27.27530
-3.27000,27.07870,26.98070,27.07880
-3.26000,26.88280,26.78510,26.88290
-3.25000,26.68750,26.59010,26.68760
-3.24000,26.49280,26.39570,26.49290
-3.23000,26.29870,26.20190,26.29880
-3.22000,26.10520,26.00870,26.10530
-3.21000,25.91230,25.81610,25.91240
-3.20000,25.72000,25.62410,25.72010
-3.19000,25.52830,25.43270,25.52840
-3.18000,25.33720,25.24190,25.33730
-3.17000,25.14670,25.05170,25.14680
-3.16000,24.95680,24.86210,24.95690
-3.15000,24.76750,24.67310,24.76760
-3.14000,24.57880,24.48470,24.57890
-3.13000,24.39070,24.29690,24.39080
-3.12000,24.20320,24.10970,24.20330
-3.11000,24.01630,23.92310,24.01640
-3.10000,23.83000,23.73710,23.83010
-3.09000,23.64430,23.55170,23.64440
-3.08000,23.45920,23.36690,23.45930
-3.07000,23.27470,23.18270,23.27480
-3.06000,23.09080,22.99910,23.09090
-3.05000,22.90750,22.81610,22.90760
-3.04000,22.72480,22.63370,22.72490
-3.03000,22.54270,22.45190,22.54280
-3.02000,22.36120,22.27070,22.36130
-3.01000,22.18030,22.09010,22.18040
-3.00000,22.00000,21.91010,22.00010
-2.99000,21.82030,21.73070,21.82040
-2.98000,21.64120,21.55190,21.64130
-2.97000,21.46270,21.37370,21.46280
-2.96000,21.28480,21.19610,21.28490
-2.95000,21.10750,21.01910,21.10760
-2.94000,20.93080,20.84270,20.93090
-2.93000,20.75470,20.66690,20.75480
-2.92000,20.57920,20.49170,20.57930
-2.91000,20.40430,20.31710,20.40440
-2.90000,20.23000,20.14310,20.23010
-2.89000,20.05630,19.96970,20.05640
-2.88000,19.88320,19.79690,19.88330
-2.87000,19.71070,19.62470,19.71080
-2.86000,19.53880,19.45310,19.53890
-2.85000,19.36750,19.28210,19.36760
-2.84000,19.19680,19.11170,19.19690
-2.83000,19.02670,18.94190,19.02680
-2.82000,18.85720,18.77270,18.85730
-2.81000,18.68830,18.60410,18.68840
-2.80000,18.52000,18.43610,18.52010
-2.79000,18.35230,18.26870,18.35240
-2.78000,18.18520,18.10190,18.18530
-2.77000,18.01870,17.93570,18.01880
-2.76000,17.85280,17.77010,17.85290
-2.75000,17.68750,17.60510,17.68760
-2.74000,17.52280,17.44070,17.52290
-2.73000,17.35870,17.27690,17.35880
-2.72000,17.19520,17.11370,17.19530
-2.71000,17.03230,16.95110,17.03240
-2.70000,16.87000,16.78910,16.87010
-2.69000,16.70830,16.62770,16.70840
-2.68000,16.54720,16.46690,16.54730
-2.67000,16.38670,16.30670,16.38680
-2.66000,16.22680,16.14710,16.22690
-2.65000,16.06750,15.98810,16.06760
-2.64000,15.90880,15.82970,15.90890
-2.63000,15.75070,15.67190,15.75080
-2.62000,15.59320,15.51470,15.59330
-2.61000,15.43630,15.35810,15.43640
-2.60000,15.28000,15.20210,15.28010
-2.59000,15.12430,15.04670,15.12440
-2.58000,14.96920,14.89190,14.96930
-2.57000,14.81470,14.73770,14.81480
-2.56000,14.66080,14.58410,14.66090
-2.55000,14.50750,14.43110,14.50760
-2.54000,14.35480,14.27870,14.35490
-2.53000,14.20270,14.12690,14.20280
-2.52000,14.05120,13.97570,14.05130
-2.51000,13.90030,13.82510,13.90040
-2.50000,13.75000,13.67510,13.75010
-2.49000,13.60030,13.52570,13.60040
-2.48000,13.45120,13.37690,13.45130
-2.47000,13.30270,13.22870,13.30280
-2.46000,13.15480,13.08110,13.15490
-2.45000,13.00750,12.93410,13.00760
-2.44000,12.86080,12.78770,12.86090
-2.43000,12.71470,12.64190,12.71480
-2.42000,12.56920,12.49670,12.56930
-2.41000,12.42430,12.35210,12.42440
-2.40000,12.28000,12.20810,12.28010
-2.39000,12.13630,12.06470,12.13640
-2.38000,11.99320,11.92190,11.99330
-2.37000,11.85070,11.77970,11.85080
-2.36000,11.70880,11.63810,11.70890
-2.35000,11.56750,11.49710,11.56760
-2.34000,11.42680,11.35670,11.42690
-2.33000,11.28670,11.21690,11.28680
-2.32000,11.14720,11.07770,11.14730
-2.31000,11.00830,10.93910,11.00840
-2.30000,10.87000,10.80110,10.87010
-2.29000,10.73230,10.66370,10.73240
-2.28000,10.59520,10.52690,10.59530
-2.27000,10.45870,10.39070,10.45880
-2.26000,10.32280,10.25510,10.32290
-2.25000,10.18750,10.12010,10.18760
-2.24000,10.05280,9.98570,10.05290
-2.23000,9.91870,9.85190,9.91880
-2.22000,9.78520,9.71870,9.78530
-2.21000,9.65230,9.58610,9.65240
-2.20000,9.52000,9.45410,9.52010
-2.19000,9.38830,9.32270,9.38840
-2.18000,9.25720,9.19190,9.25730
-2.17000,9.12670,9.06170,9.12680
-2.16000,8.99680,8.93210,8.99690
-2.15000,8.86750,8.80310,8.86760
-2.14000,8.73880,8.67470,8.73890
-2.13000,8.61070,8.54690,8.61080
-2.12000,8.48320,8.41970,8.48330
-2.11000,8.35630,8.29310,8.35640
-2.10000,8.23000,8.16710,8.23010
-2.09000,8.10430,8.04170,8.10440
-2.08000,7.97920,7.91690,7.97930
-2.07000,7.85470,7.79270,7.85480
-2.06000,7.73080,7.66910,7.73090
-2.05000,7.60750,7.54610,7.60760
-2.04000,7.48480,7.42370,7.48490
-2.03000,7.36270,7.30190,7.36280
-2.02000,7.24120,7.18070,7.24130
-2.01000,7.12030,7.06010,7.12040
-2.00000,7.00000,6.94010,7.00010
-1.99000,6.88030,6.82070,6.88040
-1.98000,6.76120,6.70190,6.76130
-1.97000,6.64270,6.58370,6.64280
-1.96000,6.52480,6.46610,6.52490
-1.95000,6.40750,6.34910,6.40760
-1.94000,6.29080,6.23270,6.29090
-1.93000,6.17470,6.11690,6.17480
-1.92000,6.05920,6.00170,6.05930
-1.91000,5.94430,5.88710,5.94440
-1.90000,5.83000,5.77310,5.83010
-1.89000,5.71630,5.65970,5.71640
-1.88000,5.60320,5.54690,5.60330
-1.87000,5.49070,5.43470,5.49080
-1.86000,5.37880,5.32310,5.37890
-1.85000,5.26750,5.21210,5.26760
-1.84000,5.15680,5.10170,5.15690
-1.83000,5.04670,4.99190,5.04680
-1.82000,4.93720,4.88270,4.93730
-1.81000,4.82830,4.77410,4.82840
-1.80000,4.72000,4.66610,4.72010
-1.79000,4.61230,4.55870,4.61240
-1.78000,4.50520,4.45190,4.50530
-1.77000,4.39870,4.34570,4.39880
-1.76000,4.29280,4.24010,4.29290
-1.75000,4.18750,4.13510,4.18760
-1.74000,4.08280,4.03070,4.08290
-1.73000,3.97870,3.92690,3.97880
-1.72000,3.87520,3.82370,3.87530
-1.71000,3.77230,3.72110,3.77240
-1.70000,3.67000,3.61910,3.67010
-1.69000,3.56830,3.51770,3.56840
-1.68000,3.46720,3.41690,3.46730
-1.67000,3.36670,3.31670,3.36680
-1.66000,3.26680,3.21710,3.26690
-1.65000,3.16750,3.11810,3.16760
-1.64000,3.06880,3.01970,3.06890
-1.63000,2.97070,2.92190,2.97080
-1.62000,2.87320,2.82470,2.87330
-1.61000,2.77630,2.72810,2.77640
-1.60000,2.68000,2.63210,2.68010
-1.59000,2.58430,2.53670,2.58440
-1.58000,2.48920,2.44190,2.48930
-1.57000,2.39470,2.34770,2.39480
-1.56000,2.30080,2.25410,2.30090
-1.55000,2.20750,2.16110,2.20760
-1.54000,2.11480,2.06870,2.11490
-1.53000,2.02270,1.97690,2.02280
-1.52000,1.93120,1.88570,1.93130
-1.51000,1.84030,1.79510,1.84040
-1.50000,1.75000,1.70510,1.75010
-1.49000,1.66030,1.61570,1.66040
-1.48000,1.57120,1.52690,1.57130
-1.47000,1.48270,1.43870,1.48280
-1.46000,1.39480,1.35110,1.39490
-1.45000,1.30750,1.26410,1.30760
-1.44000,1.22080,1.17770,1.22090
-1.43000,1.13470,1.09190,1.13480
-1.42000,1.04920,1.00670,1.04930
-1.41000,0.96430,0.92210,0.96440
-1.40000,0.88000,0.83810,0.88010
-1.39000,0.79630,0.75470,0.79640
-1.38000,0.71320,0.67190,0.71330
-1.37000,0.63070,0.58970,0.63080
-1.36000,0.54880,0.50810,0.54890
-1.35000,0.46750,0.42710,0.46760
-1.34000,0.38680,0.34670,0.38690
-1.33000,0.30670,0.26690,0.30680
-1.32000,0.22720,0.18770,0.22730
-1.31000,0.14830,0.10910,0.14840
-1.30000,0.07000,0.03110,0.07010
-1.29000,-0.00770,-0.04630,-0.00760
-1.28000,-0.08480,-0.12310,-0.08470
-1.27000,-0.16130,-0.19930,-0.16120
-1.26000,-0.23720,-0.27490,-0.23710
-1.25000,-0.31250,-0.34990,-0.31240
-1.24000,-0.38720,-0.42430,-0.38710
-1.23000,-0.46130,-0.49810,-0.46120
-1.22000,-0.53480,-0.57130,-0.53470
-1.21000,-0.60770,-0.64390,-0.60760
-1.20000,-0.68000,-0.71590,-0.67990
-1.19000,-0.75170,-0.78730,-0.75160
-1.18000,-0.82280,-0.85810,-0.82270
-1.17000,-0.89330,-0.92830,-0.89320
-1.16000,-0.96320,-0.99790,-0.96310
-1.15000,-1.03250,-1.06690,-1.03240
-1.14000,-1.10120,-1.13530,-1.10110
-1.13000,-1.16930,-1.20310,-1.16920
-1.12000,-1.23680,-1.27030,-1.23670
-1.11000,-1.30370,-1.33690,-1.30360
-1.10000,-1.37000,-1.40290,-1.36990
-1.09000,-1.43570,-1.46830,-1.43560
-1.08000,-1.50080,-1.53310,-1.50070
-1.07000,-1.56530,-1.59730,-1.56520
-1.06000,-1.62920,-1.66090,-1.62910
-1.05000,-1.69250,-1.72390,-1.69240
-1.04000,-1.75520,-1.78630,-1.75510
-1.03000,-1.81730,-1.84810,-1.81720
-1.02000,-1.87880,-1.90930,-1.87870
-1.01000,-1.93970,-1.96990,-1.93960
-1.00000,-2.00000,-2.02990,-1.99990
-0.99000,-2.05970,-2.08930,-2.05960
-0.98000,-2.11880,-2.14810,-2.11870
-0.97000,-2.17730,-2.20630,-2.17720
-0.96000,-2.23520,-2.26390,-2.23510
-0.95000,-2.29250,-2.32090,-2.29240
-0.94000,-2.34920,-2.37730,-2.34910
-0.93000,-2.40530,-2.43310,-2.40520
-0.92000,-2.46080,-2.48830,-2.46070
-0.91000,-2.51570,-2.54290,-2.51560
-0.90000,-2.57000,-2.59690,-2.56990
-0.89000,-2.62370,-2.65030,-2.62360
-0.88000,-2.67680,-2.70310,-2.67670
-0.87000,-2.72930,-2.75530,-2.72920
-0.86000,-2.78120,-2.80690,-2.78110
-0.85000,-2.83250,-2.85790,-2.83240
-0.84000,-2.88320,-2.90830,-2.88310
-0.83000,-2.93330,-2.95810,-2.93320
-0.82000,-2.98280,-3.00730,-2.98270
-0.81000,-3.03170,-3.05590,-3.03160
-0.80000,-3.08000,-3.10390,-3.07990
-0.79000,-3.12770,-3.15130,-3.12760
-0.78000,-3.17480,-3.19810,-3.17470
-0.77000,-3.22130,-3.24430,-3.22120
-0.76000,-3.26720,-3.28990,-3.26710
-0.75000,-3.31250,-3.33490,-3.31240
-0.74000,-3.35720,-3.37930,-3.35710
-0.73000,-3.40130,-3.42310,-3.40120
-0.72000,-3.44480,-3.46630,-3.44470
-0.71000,-3.48770,-3.50890,-3.48760
-0.70000,-3.53000,-3.55090,-3.52990
-0.69000,-3.57170,-3.59230,-3.57160
-0.68000,-3.61280,-3.63310,-3.61270
-0.67000,-3.65330,-3.67330,-3.65320
-0.66000,-3.69320,-3.71290,-3.69310
-0.65000,-3.73250,-3.75190,-3.73240
-0.64000,-3.77120,-3.79030,-3.77110
-0.63000,-3.80930,-3.82810,-3.80920
-0.62000,-3.84680,-3.86530,-3.84670
-0.61000,-3.88370,-3.90190,-3.88360
-0.60000,-3.92000,-3.93790,-3.91990
-0.59000,-3.95570,-3.97330,-3.95560
-0.58000,-3.99080,-4.00810,-3.99070
-0.57000,-4.02530,-4.04230,-4.02520
-0.56000,-4.05920,-4.07590,-4.05910
-0.55000,-4.09250,-4.10890,-4.09240
-0.54000,-4.12520,-4.14130,-4.12510
-0.53000,-4.15730,-4.17310,-4.15720
-0.52000,-4.18880,-4.20430,-4.18870
-0.51000,-4.21970,-4.23490,-4.21960
-0.50000,-4.25000,-4.26490,-4.24990
-0.49000,-4.27970,-4.29430,-4.27960
-0.48000,-4.30880,-4.32310,-4.30870
-0.47000,-4.33730,-4.35130,-4.33720
-0.46000,-4.36520,-4.37890,-4.36510
-0.45000,-4.39250,-4.40590,-4.39240
-0.44000,-4.41920,-4.43230,-4.41910
-0.43000,-4.44530,-4.45810,-4.44520
-0.42000,-4.47080,-4.48330,-4.47070
-0.41000,-4.49570,-4.50790,-4.49560
-0.40000,-4.52000,-4.53190,-4.51990
-0.39000,-4.54370,-4.55530,-4.54360
-0.38000,-4.56680,-4.57810,-4.56670
-0.37000,-4.58930,-4.60030,-4.58920
-0.36000,-4.61120,-4.62190,-4.61110
-0.35000,-4.63250,-4.64290,-4.63240
-0.34000,-4.65320,-4.66330,-4.65310
-0.33000,-4.67330,-4.68310,-4.67320
-0.32000,-4.69280,-4.70230,-4.69270
-0.31000,-4.71170,-4.72090,-4.71160
-0.30000,-4.73000,-4.73890,-4.72990
-0.29000,-4.74770,-4.75630,-4.74760
-0.28000,-4.76480,-4.77310,-4.76470
-0.27000,-4.78130,-4.78930,-4.78120
-0.26000,-4.79720,-4.80490,-4.79710
-0.25000,-4.81250,-4.81990,-4.81240
-0.24000,-4.82720,-4.83430,-4.82710
-0.23000,-4.84130,-4.84810,-4.84120
-0.22000,-4.85480,-4.86130,-4.85470
-0.21000,-4.86770,-4.87390,-4.86760
-0.20000,-4.88000,-4.88590,-4.87990
-0.19000,-4.89170,-4.89730,-4.89160
-0.18000,-4.90280,-4.90810,-4.90270
-0.17000,-4.91330,-4.91830,-4.91320
-0.16000,-4.92320,-4.92790,-4.92310
-0.15000,-4.93250,-4.93690,-4.93240
-0.14000,-4.94120,-4.94530,-4.94110
-0.13000,-4.94930,-4.95310,-4.94920
-0.12000,-4.95680,-4.96030,-4.95670
-0.11000,-4.96370,-4.96690,-4.96360
-0.10000,-4.97000,-4.97290,-4.96990
-0.09000,-4.97570,-4.97830,-4.97560
-0.08000,-4.98080,-4.98310,-4.98070
-0.07000,-4.98530,-4.98730,-4.98520
-0.06000,-4.98920,-4.99090,-4.98910
-0.05000,-4.99250,-4.99390,-4.99240
-0.04000,-4.99520,-4.99630,-4.99510
-0.03000,-4.99730,-4.99810,-4.99720
-0.02000,-4.99880,-4.99930,-4.99870
-0.01000,-4.99970,-4.99990,-4.99960
-0.00000,-5.00000,-4.99990,-4.99990
0.01000,-4.99970,-4.99930,-4.99960
0.02000,-4.99880,-4.99810,-4.99870
0.03000,-4.99730,-4.99630,-4.99720
0.04000,-4.99520,-4.99390,-4.99510
0.05000,-4.99250,-4.99090,-4.99240
0.06000,-4.98920,-4.98730,-4.98910
0.07000,-4.98530,-4.98310,-4.98520
0.08000,-4.98080,-4.97830,-4.98070
0.09000,-4.97570,-4.97290,-4.97560
0.10000,-4.97000,-4.96690,-4.96990
0.11000,-4.96370,-4.96030,-4.96360
0.12000,-4.95680,-4.95310,-4.95670
0.13000,-4.94930,-4.94530,-4.94920
0.14000,-4.94120,-4.93690,-4.94110
0.15000,-4.93250,-4.92790,-4.93240
0.16000,-4.92320,-4.91830,-4.92310
0.17000,-4.91330,-4.90810,-4.91320
0.18000,-4.90280,-4.89730,-4.90270
0.19000,-4.89170,-4.88590,-4.89160
0.20000,-4.88000,-4.87390,-4.87990
0.21000,-4.86770,-4.86130,-4.86760
0.22000,-4.85480,-4.84810,-4.85470
0.23000,-4.84130,-4.83430,-4.84120
0.24000,-4.82720,-4.81990,-4.82710
0.25000,-4.81250,-4.80490,-4.81240
0.26000,-4.79720,-4.78930,-4.79710
0.27000,-4.78130,-4.77310,-4.78120
0.28000,-4.76480,-4.75630,-4.76470
0.29000,-4.74770,-4.73890,-4.74760
0.30000,-4.73000,-4.72090,-4.72990
0.31000,-4.71170,-4.70230,-4.71160
0.32000,-4.69280,-4.68310,-4.69270
0.33000,-4.67330,-4.66330,-4.67320
0.34000,-4.65320,-4.64290,-4.65310
0.35000,-4.63250,-4.62190,-4.63240
0.36000,-4.61120,-4.60030,-4.61110
0.37000,-4.58930,-4.57810,-4.58920
0.38000,-4.56680,-4.55530,-4.56670
0.39000,-4.54370,-4.53190,-4.54360
0.40000,-4.52000,-4.50790,-4.51990
0.41000,-4.49570,-4.48330,-4.49560
0.42000,-4.47080,-4.45810,-4.47070
0.43000,-4.44530,-4.43230,-4.44520
0.44000,-4.41920,-4.40590,-4.41910
0.45000,-4.39250,-4.37890,-4.39240
0.46000,-4.36520,-4.35130,-4.36510
0.47000,-4.33730,-4.32310,-4.33720
0.48000,-4.30880,-4.29430,-4.30870
0.49000,-4.27970,-4.26490,-4.27960
0.50000,-4.25000,-4.23490,-4.24990
0.51000,-4.21970,-4.20430,-4.21960
0.52000,-4.18880,-4.17310,-4.18870
0.53000,-4.15730,-4.14130,-4.15720
0.54000,-4.12520,-4.10890,-4.12510
0.55000,-4.09250,-4.07590,-4.09240
0.56000,-4.05920,-4.04230,-4.05910
0.57000,-4.02530,-4.00810,-4.02520
0.58000,-3.99080,-3.97330,-3.99070
0.59000,-3.95570,-3.93790,-3.95560
0.60000,-3.92000,-3.90190,-3.91990
0.61000,-3.88370,-3.86530,-3.88360
0.62000,-3.84680,-3.82810,-3.84670
0.63000,-3.80930,-3.79030,-3.80920
0.64000,-3.77120,-3.75190,-3.77110
0.65000,-3.73250,-3.71290,-3.73240
0.66000,-3.69320,-3.67330,-3.69310
0.67000,-3.65330,-3.63310,-3.65320
0.68000,-3.61280,-3.59230,-3.61270
0.69000,-3.57170,-3.55090,-3.57160
0.70000,-3.53000,-3.50890,-3.52990
0.71000,-3.48770,-3.46630,-3.48760
0.72000,-3.44480,-3.42310,-3.44470
0.73000,-3.40130,-3.37930,-3.40120
0.74000,-3.35720,-3.33490,-3.35710
0.75000,-3.31250,-3.28990,-3.31240
0.76000,-3.26720,-3.24430,-3.26710
0.77000,-3.22130,-3.19810,-3.22120
0.78000,-3.17480,-3.15130,-3.17470
0.79000,-3.12770,-3.10390,-3.12760
0.80000,-3.08000,-3.05590,-3.07990
0.81000,-3.03170,-3.00730,-3.03160
0.82000,-2.98280,-2.95810,-2.98270
0.83000,-2.93330,-2.90830,-2.93320
0.84000,-2.88320,-2.85790,-2.88310
0.85000,-2.83250,-2.80690,-2.83240
0.86000,-2.78120,-2.75530,-2.78110
0.87000,-2.72930,-2.70310,-2.72920
0.88000,-2.67680,-2.65030,-2.67670
0.89000,-2.62370,-2.59690,-2.62360
0.90000,-2.57000,-2.54290,-2.56990
0.91000,-2.51570,-2.48830,-2.51560
0.92000,-2.46080,-2.43310,-2.46070
0.93000,-2.40530,-2.37730,-2.40520
0.94000,-2.34920,-2.32090,-2.34910
0.95000,-2.29250,-2.26390,-2.29240
0.96000,-2.23520,-2.20630,-2.23510
0.97000,-2.17730,-2.14810,-2.17720
0.98000,-2.11880,-2.08930,-2.11870
0.99000,-2.05970,-2.02990,-2.05960
1.00000,-2.00000,-1.96990,-1.99990
1.01000,-1.93970,-1.90930,-1.93960
1.02000,-1.87880,-1.84810,-1.87870
1.03000,-1.81730,-1.78630,-1.81720
1.04000,-1.75520,-1.72390,-1.75510
1.05000,-1.69250,-1.66090,-1.69240
1.06000,-1.62920,-1.59730,-1.62910
1.07000,-1.56530,-1.53310,-1.56520
1.08000,-1.50080,-1.46830,-1.50070
1.09000,-1.43570,-1.40290,-1.43560
1.10000,-1.37000,-1.33690,-1.36990
1.11000,-1.30370,-1.27030,-1.30360
1.12000,-1.23680,-1.20310,-1.23670
1.13000,-1.16930,-1.13530,-1.16920
1.14000,-1.10120,-1.06690,-1.10110
1.15000,-1.03250,-0.99790,-1.03240
1.16000,-0.96320,-0.92830,-0.96310
1.17000,-0.89330,-0.85810,-0.89320
1.18000,-0.82280,-0.78730,-0.82270
1.19000,-0.75170,-0.71590,-0.75160
1.20000,-0.68000,-0.64390,-0.67990
1.21000,-0.60770,-0.57130,-0.60760
1.22000,-0.53480,-0.49810,-0.53470
1.23000,-0.46130,-0.42430,-0.46120
1.24000,-0.38720,-0.34990,-0.38710
1.25000,-0.31250,-0.27490,-0.31240
1.26000,-0.23720,-0.19930,-0.23710
1.27000,-0.16130,-0.12310,-0.16120
1.28000,-0.08480,-0.04630,-0.08470
1.29000,-0.00770,0.03110,-0.00760
1.30000,0.07000,0.10910,0.07010
1.31000,0.14830,0.18770,0.14840
